date,market1,market2,lag
2005-07-25,US,GB,-2250
2005-07-25,GB,US,2250
2005-07-25,NL,GB,-3000
2005-07-25,GB,NL,3000
2005-07-25,NL,US,-15000
2005-07-25,US,NL,15000
2005-07-26,US,GB,-41000
2005-07-26,GB,US,41000
2005-07-26,NL,GB,20500
2005-07-26,GB,NL,-20500
2005-07-26,NL,US,62000
2005-07-26,US,NL,-62000
2005-07-27,US,GB,-38000
2005-07-27,GB,US,38000
2005-07-27,NL,GB,8000
2005-07-27,GB,NL,-8000
2005-07-27,NL,US,52000
2005-07-27,US,NL,-52000
2005-07-28,US,GB,9250
2005-07-28,GB,US,-9250
2005-07-28,NL,GB,9000
2005-07-28,GB,NL,-9000
2005-07-28,NL,US,-41000
2005-07-28,US,NL,41000
2005-07-29,US,GB,-13983
2005-07-29,GB,US,13983
2005-07-29,NL,GB,4000
2005-07-29,GB,NL,-4000
2005-07-29,NL,US,44500
2005-07-29,US,NL,-44500
2005-08-01,US,GB,-9500
2005-08-01,GB,US,9500
2005-08-01,NL,GB,14000
2005-08-01,GB,NL,-14000
2005-08-01,NL,US,128437
2005-08-01,US,NL,-128437
2005-08-02,US,GB,-164593
2005-08-02,GB,US,164593
2005-08-02,NL,GB,4875
2005-08-02,GB,NL,-4875
2005-08-02,NL,US,133437
2005-08-02,US,NL,-133437
2005-08-03,US,GB,-10187
2005-08-03,GB,US,10187
2005-08-03,NL,GB,18000
2005-08-03,GB,NL,-18000
2005-08-03,NL,US,13000
2005-08-03,US,NL,-13000
2005-08-04,US,GB,1250
2005-08-04,GB,US,-1250
2005-08-04,NL,GB,4870
2005-08-04,GB,NL,-4870
2005-08-04,NL,US,72250
2005-08-04,US,NL,-72250
2005-08-05,US,GB,-16000
2005-08-05,GB,US,16000
2005-08-05,NL,GB,20500
2005-08-05,GB,NL,-20500
2005-08-05,NL,US,-196434
2005-08-05,US,NL,196434
2005-08-08,US,GB,-53939
2005-08-08,GB,US,53939
2005-08-08,NL,GB,20000
2005-08-08,GB,NL,-20000
2005-08-08,NL,US,25000
2005-08-08,US,NL,-25000
2005-08-09,US,GB,16000
2005-08-09,GB,US,-16000
2005-08-09,NL,GB,10125
2005-08-09,GB,NL,-10125
2005-08-09,NL,US,17500
2005-08-09,US,NL,-17500
2005-08-10,US,GB,-1125
2005-08-10,GB,US,1125
2005-08-10,NL,GB,16000
2005-08-10,GB,NL,-16000
2005-08-10,NL,US,33625
2005-08-10,US,NL,-33625
2005-08-11,US,GB,-31000
2005-08-11,GB,US,31000
2005-08-11,NL,GB,15000
2005-08-11,GB,NL,-15000
2005-08-11,NL,US,30725
2005-08-11,US,NL,-30725
2005-08-12,US,GB,-33125
2005-08-12,GB,US,33125
2005-08-12,NL,GB,14750
2005-08-12,GB,NL,-14750
2005-08-12,NL,US,40125
2005-08-12,US,NL,-40125
2005-08-15,US,GB,26000
2005-08-15,GB,US,-26000
2005-08-15,NL,GB,26951
2005-08-15,GB,NL,-26951
2005-08-15,NL,US,30750
2005-08-15,US,NL,-30750
2005-08-16,US,GB,-22000
2005-08-16,GB,US,22000
2005-08-16,NL,GB,19000
2005-08-16,GB,NL,-19000
2005-08-16,NL,US,20875
2005-08-16,US,NL,-20875
2005-08-17,US,GB,-2500
2005-08-17,GB,US,2500
2005-08-17,NL,GB,19000
2005-08-17,GB,NL,-19000
2005-08-17,NL,US,13400
2005-08-17,US,NL,-13400
2005-08-18,US,GB,-11500
2005-08-18,GB,US,11500
2005-08-18,NL,GB,1375
2005-08-18,GB,NL,-1375
2005-08-18,NL,US,32500
2005-08-18,US,NL,-32500
2005-08-19,US,GB,-13000
2005-08-19,GB,US,13000
2005-08-19,NL,GB,22000
2005-08-19,GB,NL,-22000
2005-08-19,NL,US,40375
2005-08-19,US,NL,-40375
2005-08-22,US,GB,21812
2005-08-22,GB,US,-21812
2005-08-22,NL,GB,19000
2005-08-22,GB,NL,-19000
2005-08-22,NL,US,60813
2005-08-22,US,NL,-60813
2005-08-23,US,GB,-12250
2005-08-23,GB,US,12250
2005-08-23,NL,GB,23500
2005-08-23,GB,NL,-23500
2005-08-23,NL,US,58425
2005-08-23,US,NL,-58425
2005-08-24,US,GB,3000
2005-08-24,GB,US,-3000
2005-08-24,NL,GB,0
2005-08-24,GB,NL,0
2005-08-24,NL,US,17000
2005-08-24,US,NL,-17000
2005-08-25,US,GB,-12000
2005-08-25,GB,US,12000
2005-08-25,NL,GB,1500
2005-08-25,GB,NL,-1500
2005-08-25,NL,US,15000
2005-08-25,US,NL,-15000
2005-08-26,US,GB,-6468
2005-08-26,GB,US,6468
2005-08-26,NL,GB,19000
2005-08-26,GB,NL,-19000
2005-08-26,NL,US,9000
2005-08-26,US,NL,-9000
2005-08-30,US,GB,10000
2005-08-30,GB,US,-10000
2005-08-30,NL,GB,16000
2005-08-30,GB,NL,-16000
2005-08-30,NL,US,46000
2005-08-30,US,NL,-46000
2005-08-31,US,GB,104690
2005-08-31,GB,US,-104690
2005-08-31,NL,GB,4000
2005-08-31,GB,NL,-4000
2005-08-31,NL,US,-67219
2005-08-31,US,NL,67219
2005-09-01,US,GB,-21500
2005-09-01,GB,US,21500
2005-09-01,NL,GB,24500
2005-09-01,GB,NL,-24500
2005-09-01,NL,US,73561
2005-09-01,US,NL,-73561
2005-09-02,US,GB,1000
2005-09-02,GB,US,-1000
2005-09-02,NL,GB,44500
2005-09-02,GB,NL,-44500
2005-09-02,NL,US,10000
2005-09-02,US,NL,-10000
2005-09-06,US,GB,37000
2005-09-06,GB,US,-37000
2005-09-06,NL,GB,32033
2005-09-06,GB,NL,-32033
2005-09-06,NL,US,16000
2005-09-06,US,NL,-16000
2005-09-07,US,GB,3000
2005-09-07,GB,US,-3000
2005-09-07,NL,GB,72250
2005-09-07,GB,NL,-72250
2005-09-07,NL,US,16000
2005-09-07,US,NL,-16000
2005-09-08,US,GB,-9000
2005-09-08,GB,US,9000
2005-09-08,NL,GB,22000
2005-09-08,GB,NL,-22000
2005-09-08,NL,US,-35375
2005-09-08,US,NL,35375
2005-09-09,US,GB,16000
2005-09-09,GB,US,-16000
2005-09-09,NL,GB,17000
2005-09-09,GB,NL,-17000
2005-09-09,NL,US,112500
2005-09-09,US,NL,-112500
2005-09-12,US,GB,6500
2005-09-12,GB,US,-6500
2005-09-12,NL,GB,2500
2005-09-12,GB,NL,-2500
2005-09-12,NL,US,9000
2005-09-12,US,NL,-9000
2005-09-13,US,GB,23500
2005-09-13,GB,US,-23500
2005-09-13,NL,GB,1000
2005-09-13,GB,NL,-1000
2005-09-13,NL,US,5813
2005-09-13,US,NL,-5813
2005-09-14,US,GB,-46250
2005-09-14,GB,US,46250
2005-09-14,NL,GB,13000
2005-09-14,GB,NL,-13000
2005-09-14,NL,US,52000
2005-09-14,US,NL,-52000
2005-09-15,US,GB,2250
2005-09-15,GB,US,-2250
2005-09-15,NL,GB,31000
2005-09-15,GB,NL,-31000
2005-09-15,NL,US,52658
2005-09-15,US,NL,-52658
2005-09-16,US,GB,-5000
2005-09-16,GB,US,5000
2005-09-16,NL,GB,9000
2005-09-16,GB,NL,-9000
2005-09-16,NL,US,20875
2005-09-16,US,NL,-20875
2005-09-19,US,GB,4625
2005-09-19,GB,US,-4625
2005-09-19,NL,GB,-8500
2005-09-19,GB,NL,8500
2005-09-19,NL,US,34500
2005-09-19,US,NL,-34500
2005-09-20,US,GB,-30500
2005-09-20,GB,US,30500
2005-09-20,NL,GB,15000
2005-09-20,GB,NL,-15000
2005-09-20,NL,US,35500
2005-09-20,US,NL,-35500
2005-09-21,US,GB,-22750
2005-09-21,GB,US,22750
2005-09-21,NL,GB,7000
2005-09-21,GB,NL,-7000
2005-09-21,NL,US,34750
2005-09-21,US,NL,-34750
2005-09-22,US,GB,-8000
2005-09-22,GB,US,8000
2005-09-22,NL,GB,-15250
2005-09-22,GB,NL,15250
2005-09-22,NL,US,19750
2005-09-22,US,NL,-19750
2005-09-23,US,GB,-47000
2005-09-23,GB,US,47000
2005-09-23,NL,GB,-48000
2005-09-23,GB,NL,48000
2005-09-23,NL,US,29875
2005-09-23,US,NL,-29875
2005-09-26,US,GB,-23500
2005-09-26,GB,US,23500
2005-09-26,NL,GB,36500
2005-09-26,GB,NL,-36500
2005-09-26,NL,US,31000
2005-09-26,US,NL,-31000
2005-09-27,US,GB,-5500
2005-09-27,GB,US,5500
2005-09-27,NL,GB,9000
2005-09-27,GB,NL,-9000
2005-09-27,NL,US,32500
2005-09-27,US,NL,-32500
2005-09-28,US,GB,-5000
2005-09-28,GB,US,5000
2005-09-28,NL,GB,16000
2005-09-28,GB,NL,-16000
2005-09-28,NL,US,61000
2005-09-28,US,NL,-61000
2005-09-29,US,GB,-3375
2005-09-29,GB,US,3375
2005-09-29,NL,GB,12500
2005-09-29,GB,NL,-12500
2005-09-29,NL,US,30250
2005-09-29,US,NL,-30250
2005-09-30,US,GB,-10000
2005-09-30,GB,US,10000
2005-09-30,NL,GB,24500
2005-09-30,GB,NL,-24500
2005-09-30,NL,US,47500
2005-09-30,US,NL,-47500
2005-10-03,US,GB,-13000
2005-10-03,GB,US,13000
2005-10-03,NL,GB,9000
2005-10-03,GB,NL,-9000
2005-10-03,NL,US,77313
2005-10-03,US,NL,-77313
2005-10-04,US,GB,11500
