date,market,period
2012-07-27,GB,0.174999
2012-07-27,US,0.099999
2012-07-27,NL,0.113999
2012-07-30,GB,0.22
2012-07-30,US,0.14
2012-07-30,NL,0.167999
2012-07-31,GB,0.192
2012-07-31,US,0.11
2012-07-31,NL,0.14
2012-08-01,GB,0.192999
2012-08-01,US,0.09
2012-08-01,NL,0.147999
2012-08-02,GB,0.09
2012-08-02,US,0.08
2012-08-02,NL,0.063
2012-08-03,GB,0.187
2012-08-03,US,0.102999
2012-08-03,NL,0.135
2012-08-06,GB,0.288999
2012-08-06,US,0.113
2012-08-06,NL,0.193
2012-08-07,GB,0.273999
2012-08-07,US,0.12
2012-08-07,NL,0.171999
2012-08-08,GB,0.267
2012-08-08,US,0.12
2012-08-08,NL,0.166999
2012-08-09,GB,0.204
2012-08-09,US,0.09
2012-08-09,NL,0.157999
2012-08-10,GB,0.187
2012-08-10,US,0.08
2012-08-10,NL,0.177
2012-08-13,GB,0.203999
2012-08-13,US,0.119
2012-08-13,NL,0.183999
2012-08-14,GB,0.199999
2012-08-14,US,0.090999
2012-08-14,NL,0.193
2012-08-15,GB,0.224999
2012-08-15,US,0.098999
2012-08-15,NL,0.243
2012-08-16,GB,0.201999
2012-08-16,US,0.127999
2012-08-16,NL,0.236
2012-08-17,GB,0.259999
2012-08-17,US,0.13
2012-08-17,NL,0.247
2012-08-20,GB,0.192
2012-08-20,US,0.150999
2012-08-20,NL,0.237999
2012-08-21,GB,0.264999
2012-08-21,US,0.13
2012-08-21,NL,0.258
2012-08-22,GB,0.205
2012-08-22,US,0.109
2012-08-22,NL,0.247
2012-08-23,GB,0.207
2012-08-23,US,0.1
2012-08-23,NL,0.240999
2012-08-24,GB,0.203999
2012-08-24,US,0.117999
2012-08-24,NL,0.218999
2012-08-28,GB,0.189
2012-08-28,US,0.099999
2012-08-28,NL,0.164
2012-08-29,GB,0.205
2012-08-29,US,0.103
2012-08-29,NL,0.185999
2012-08-30,GB,0.2
2012-08-30,US,0.1015
2012-08-30,NL,0.236
2012-08-31,GB,0.103
2012-08-31,US,0.066999
2012-08-31,NL,0.143
2012-09-04,GB,0.142
2012-09-04,US,0.091
2012-09-04,NL,0.204999
2012-09-05,GB,0.133
2012-09-05,US,0.09
2012-09-05,NL,0.153
2012-09-06,GB,0.107999
2012-09-06,US,0.089999
2012-09-06,NL,0.108
2012-09-07,GB,0.145999
2012-09-07,US,0.099999
2012-09-07,NL,0.16
2012-09-10,GB,0.247
2012-09-10,US,0.108999
2012-09-10,NL,0.234
2012-09-11,GB,0.204
2012-09-11,US,0.100999
2012-09-11,NL,0.181
2012-09-12,GB,0.12
2012-09-12,US,0.1
2012-09-12,NL,0.155
2012-09-13,GB,0.206
2012-09-13,US,0.09
2012-09-13,NL,0.219999
2012-09-14,GB,0.194
2012-09-14,US,0.079999
2012-09-14,NL,0.166
2012-09-17,GB,0.291
2012-09-17,US,0.090999
2012-09-17,NL,0.201999
2012-09-18,GB,0.220999
2012-09-18,US,0.098
2012-09-18,NL,0.187
2012-09-19,GB,0.236999
2012-09-19,US,0.1
2012-09-19,NL,0.201
2012-09-20,GB,0.234999
2012-09-20,US,0.09
2012-09-20,NL,0.168999
2012-09-21,GB,0.208
2012-09-21,US,0.099
2012-09-21,NL,0.175
2012-09-24,GB,0.272999
2012-09-24,US,0.1
2012-09-24,NL,0.235
2012-09-25,GB,0.284499
2012-09-25,US,0.09
2012-09-25,NL,0.235
2012-09-26,GB,0.230999
2012-09-26,US,0.088999
2012-09-26,NL,0.203
2012-09-27,GB,0.237999
2012-09-27,US,0.1
2012-09-27,NL,0.188
2012-09-28,GB,0.203
2012-09-28,US,0.079999
2012-09-28,NL,0.17
2012-10-01,GB,0.203
2012-10-01,US,0.09
2012-10-01,NL,0.201
2012-10-02,GB,0.208999
2012-10-02,US,0.089
2012-10-02,NL,0.204999
2012-10-03,GB,0.203
2012-10-03,US,0.082999
2012-10-03,NL,0.171999
2012-10-04,GB,0.203
2012-10-04,US,0.089999
2012-10-04,NL,0.175999
2012-10-05,GB,0.217
2012-10-05,US,0.098999
2012-10-05,NL,0.188
2012-10-08,GB,0.242
2012-10-08,US,0.099
2012-10-08,NL,0.242
2012-10-09,GB,0.208999
2012-10-09,US,0.079999
2012-10-09,NL,0.18
2012-10-10,GB,0.281
2012-10-10,US,0.089
2012-10-10,NL,0.230999
2012-10-11,GB,0.28
2012-10-11,US,0.099999
2012-10-11,NL,0.203
2012-10-12,GB,0.222
2012-10-12,US,0.089
2012-10-12,NL,0.146
2012-10-15,GB,0.281999
2012-10-15,US,0.093999
2012-10-15,NL,0.207
2012-10-16,GB,0.218
2012-10-16,US,0.098999
2012-10-16,NL,0.189
2012-10-17,GB,0.312
2012-10-17,US,0.1
2012-10-17,NL,0.24
2012-10-18,GB,0.2805
2012-10-18,US,0.082
2012-10-18,NL,0.241999
2012-10-19,GB,0.257499
2012-10-19,US,0.089999
2012-10-19,NL,0.203
2012-10-22,GB,0.296
2012-10-22,US,0.088999
2012-10-22,NL,0.212999
2012-10-23,GB,0.141
2012-10-23,US,0.08
2012-10-23,NL,0.156
2012-10-24,GB,0.174999
2012-10-24,US,0.089
2012-10-24,NL,0.153999
2012-10-25,GB,0.188
2012-10-25,US,0.08
2012-10-25,NL,0.171999
2012-10-26,GB,0.158
2012-10-26,US,0.088999
2012-10-26,NL,0.146
2012-10-31,GB,0.186
2012-10-31,US,0.086999
2012-10-31,NL,0.159
2012-11-01,GB,0.202
2012-11-01,US,0.09
2012-11-01,NL,0.188
2012-11-02,GB,0.188
2012-11-02,US,0.089
2012-11-02,NL,0.171999
2012-11-05,GB,0.218999
2012-11-05,US,0.099
2012-11-05,NL,0.219
2012-11-06,GB,0.266
2012-11-06,US,0.099
2012-11-06,NL,0.243
2012-11-07,GB,0.120999
2012-11-07,US,0.07
2012-11-07,NL,0.124999
2012-11-08,GB,0.168999
2012-11-08,US,0.08
2012-11-08,NL,0.14
2012-11-09,GB,0.153999
2012-11-09,US,0.08
2012-11-09,NL,0.14
2012-11-12,GB,0.281
2012-11-12,US,0.108999
2012-11-12,NL,0.188
2012-11-13,GB,0.172999
2012-11-13,US,0.09
2012-11-13,NL,0.145999
2012-11-14,GB,0.197
2012-11-14,US,0.071
2012-11-14,NL,0.159999
2012-11-15,GB,0.203
2012-11-15,US,0.079
2012-11-15,NL,0.166
2012-11-16,GB,0.156
2012-11-16,US,0.069999
2012-11-16,NL,0.128999
2012-11-19,GB,0.203
2012-11-19,US,0.099999
2012-11-19,NL,0.203
2012-11-20,GB,0.203
2012-11-20,US,0.09
2012-11-20,NL,0.156
2012-11-21,GB,0.196999
2012-11-21,US,0.1
2012-11-21,NL,0.172999
2012-11-23,GB,0.249999
2012-11-23,US,0.1
2012-11-23,NL,0.202999
2012-11-26,GB,0.266
2012-11-26,US,0.1
2012-11-26,NL,0.218
2012-11-27,GB,0.217999
2012-11-27,US,0.089999
2012-11-27,NL,0.182999
2012-11-28,GB,0.202999
2012-11-28,US,0.08
2012-11-28,NL,0.153
2012-11-29,GB,0.203
2012-11-29,US,0.099
2012-11-29,NL,0.159999
2012-11-30,GB,0.281
2012-11-30,US,0.093
2012-11-30,NL,0.203999
2012-12-03,GB,0.294999
2012-12-03,US,0.089999
2012-12-03,NL,0.218999
2012-12-04,GB,0.296
2012-12-04,US,0.09
2012-12-04,NL,0.25
2012-12-05,GB,0.259999
2012-12-05,US,0.080999
2012-12-05,NL,0.234999
2012-12-06,GB,0.203
2012-12-06,US,0.098999
2012-12-06,NL,0.159999
2012-12-07,GB,0.203
2012-12-07,US,0.08
2012-12-07,NL,0.156
2012-12-10,GB,0.297
2012-12-10,US,0.101999
2012-12-10,NL,0.226
2012-12-11,GB,0.295
2012-12-11,US,0.1
2012-12-11,NL,0.234999
2012-12-12,GB,0.311998
2012-12-12,US,0.09
2012-12-12,NL,0.274
2012-12-13,GB,0.297
2012-12-13,US,0.1
2012-12-13,NL,0.239999
2012-12-14,GB,0.296999
2012-12-14,US,0.098999
2012-12-14,NL,0.229
2012-12-17,GB,0.312999
2012-12-17,US,0.104999
2012-12-17,NL,0.281
2012-12-18,GB,0.328
2012-12-18,US,0.1
2012-12-18,NL,0.257999
2012-12-19,GB,0.328
2012-12-19,US,0.1
2012-12-19,NL,0.323
2012-12-20,GB,0.296999
2012-12-20,US,0.091
2012-12-20,NL,0.26
2012-12-21,GB,0.226999
2012-12-21,US,0.080999
2012-12-21,NL,0.196
2012-12-24,GB,0.999999
2012-12-24,US,0.159999
2012-12-24,NL,0.969
2012-12-27,GB,0.323
2012-12-27,US,0.079
2012-12-27,NL,0.296999
2012-12-28,GB,0.406999
2012-12-28,US,0.09
2012-12-28,NL,0.379
2012-12-31,GB,0.552499
2012-12-31,US,0.079999
2012-12-31,NL,0.6825
2013-01-02,GB,0.296999
2013-01-02,US,0.088999
2013-01-02,NL,0.256
2013-01-03,GB,0.320999
2013-01-03,US,0.091
2013-01-03,NL,0.344
2013-01-04,GB,0.281
2013-01-04,US,0.1
2013-01-04,NL,0.296999
2013-01-07,GB,0.375
2013-01-07,US,0.109
2013-01-07,NL,0.299
2013-01-08,GB,0.319999
2013-01-08,US,0.100999
2013-01-08,NL,0.292
2013-01-09,GB,0.337
2013-01-09,US,0.109999
2013-01-09,NL,0.308999
2013-01-10,GB,0.214
2013-01-10,US,0.101
2013-01-10,NL,0.208999
2013-01-11,GB,0.297
2013-01-11,US,0.109999
2013-01-11,NL,0.281
2013-01-14,GB,0.313999
2013-01-14,US,0.11
2013-01-14,NL,0.262
2013-01-15,GB,0.293
2013-01-15,US,0.11
2013-01-15,NL,0.264999
2013-01-16,GB,0.297
2013-01-16,US,0.118999
2013-01-16,NL,0.28
2013-01-17,GB,0.283
2013-01-17,US,0.109
2013-01-17,NL,0.25
2013-01-18,GB,0.296999
2013-01-18,US,0.109999
2013-01-18,NL,0.246999
2013-01-22,GB,0.296999
2013-01-22,US,0.111
2013-01-22,NL,0.218999
2013-01-23,GB,0.339499
2013-01-23,US,0.119
2013-01-23,NL,0.281
2013-01-24,GB,0.296999
2013-01-24,US,0.109999
2013-01-24,NL,0.250999
2013-01-25,GB,0.296999
2013-01-25,US,0.101
