,date,market1,market2,lag
0,2005-07-25,US,GB,19000
1,2005-07-25,GB,US,-19000
2,2005-07-25,NL,GB,-109845
3,2005-07-25,GB,NL,109845
4,2005-07-25,NL,US,750
5,2005-07-25,US,NL,-750
6,2005-07-26,US,GB,-10000
7,2005-07-26,GB,US,10000
8,2005-07-26,NL,GB,-9500
9,2005-07-26,GB,NL,9500
10,2005-07-26,NL,US,9000
11,2005-07-26,US,NL,-9000
17,2005-07-27,US,NL,19000
16,2005-07-27,NL,US,-19000
15,2005-07-27,GB,NL,-11000
12,2005-07-27,US,GB,6250
13,2005-07-27,GB,US,-6250
14,2005-07-27,NL,GB,11000
18,2005-07-28,US,GB,23125
19,2005-07-28,GB,US,-23125
20,2005-07-28,NL,GB,16000
21,2005-07-28,GB,NL,-16000
22,2005-07-28,NL,US,-2500
23,2005-07-28,US,NL,2500
29,2005-07-29,US,NL,-4500
28,2005-07-29,NL,US,4500
27,2005-07-29,GB,NL,27000
25,2005-07-29,GB,US,-18000
24,2005-07-29,US,GB,18000
26,2005-07-29,NL,GB,-27000
30,2005-08-01,US,GB,-23875
31,2005-08-01,GB,US,23875
32,2005-08-01,NL,GB,13500
33,2005-08-01,GB,NL,-13500
34,2005-08-01,NL,US,23500
35,2005-08-01,US,NL,-23500
41,2005-08-02,US,NL,-4000
39,2005-08-02,GB,NL,-15000
40,2005-08-02,NL,US,4000
37,2005-08-02,GB,US,-34500
36,2005-08-02,US,GB,34500
38,2005-08-02,NL,GB,15000
42,2005-08-04,US,GB,-14000
43,2005-08-04,GB,US,14000
44,2005-08-04,NL,GB,-1500
45,2005-08-04,GB,NL,1500
46,2005-08-04,NL,US,4000
47,2005-08-04,US,NL,-4000
52,2005-08-05,NL,US,4000
48,2005-08-05,US,GB,-25000
49,2005-08-05,GB,US,25000
50,2005-08-05,NL,GB,-3000
51,2005-08-05,GB,NL,3000
53,2005-08-05,US,NL,-4000
59,2005-08-08,US,NL,-3000
58,2005-08-08,NL,US,3000
57,2005-08-08,GB,NL,-34750
56,2005-08-08,NL,GB,34750
55,2005-08-08,GB,US,-61125
54,2005-08-08,US,GB,61125
60,2005-08-09,US,GB,-18687
61,2005-08-09,GB,US,18687
62,2005-08-09,NL,GB,-31250
63,2005-08-09,GB,NL,31250
64,2005-08-09,NL,US,5500
65,2005-08-09,US,NL,-5500
70,2005-08-10,NL,US,6000
69,2005-08-10,GB,NL,-4500
