date,market1,market2,lag
2005-07-29,US,GB,-20000
2005-07-29,GB,US,20000
2005-07-29,NL,GB,0
2005-07-29,GB,NL,0
2005-07-29,NL,US,16000
2005-07-29,US,NL,-16000
2005-08-12,US,GB,0
2005-08-12,GB,US,0
2005-08-12,NL,GB,40001
2005-08-12,GB,NL,-40001
2005-08-12,NL,US,34250
2005-08-12,US,NL,-34250
2005-08-26,US,GB,-6000
2005-08-26,GB,US,6000
2005-08-26,NL,GB,-12000
2005-08-26,GB,NL,12000
2005-08-26,NL,US,20500
2005-08-26,US,NL,-20500
2005-09-09,US,GB,-32000
2005-09-09,GB,US,32000
2005-09-09,NL,GB,-68000
2005-09-09,GB,NL,68000
2005-09-09,NL,US,-44500
2005-09-09,US,NL,44500
2005-09-23,US,GB,-2000
2005-09-23,GB,US,2000
2005-09-23,NL,GB,-32000
2005-09-23,GB,NL,32000
2005-09-23,NL,US,24250
2005-09-23,US,NL,-24250
2005-10-07,US,GB,16000
2005-10-07,GB,US,-16000
2005-10-07,NL,GB,12000
2005-10-07,GB,NL,-12000
2005-10-07,NL,US,22000
2005-10-07,US,NL,-22000
2005-10-21,US,GB,4000
2005-10-21,GB,US,-4000
2005-10-21,NL,GB,14000
2005-10-21,GB,NL,-14000
2005-10-21,NL,US,12000
2005-10-21,US,NL,-12000
2005-11-04,US,GB,26500
2005-11-04,GB,US,-26500
2005-11-04,NL,GB,-63500
2005-11-04,GB,NL,63500
2005-11-04,NL,US,-23750
2005-11-04,US,NL,23750
2005-11-18,US,GB,-75750
2005-11-18,GB,US,75750
2005-11-18,NL,GB,-6000
2005-11-18,GB,NL,6000
2005-11-18,NL,US,38250
2005-11-18,US,NL,-38250
2005-12-02,US,GB,16000
2005-12-02,GB,US,-16000
2005-12-02,NL,GB,2000
2005-12-02,GB,NL,-2000
2005-12-02,NL,US,12000
2005-12-02,US,NL,-12000
2005-12-16,US,GB,-18000
2005-12-16,GB,US,18000
2005-12-16,NL,GB,0
2005-12-16,GB,NL,0
2005-12-16,NL,US,12000
2005-12-16,US,NL,-12000
2006-01-30,US,GB,-23750
2006-01-30,GB,US,23750
2006-01-30,NL,GB,16000
2006-01-30,GB,NL,-16000
2006-01-30,NL,US,-8000
2006-01-30,US,NL,8000
2006-02-13,US,GB,64750
2006-02-13,GB,US,-64750
2006-02-13,NL,GB,22000
2006-02-13,GB,NL,-22000
2006-02-13,NL,US,16000
