date,market,period
2005-07-25,GB,3.664
2005-07-25,US,14.530999
2005-07-25,NL,2.18
2005-07-26,GB,8.260999
2005-07-26,US,9.774
2005-07-26,NL,2.714
2005-07-27,GB,4.8785
2005-07-27,US,13.392499
2005-07-27,NL,1.938
2005-07-28,GB,4.670999
2005-07-28,US,9.272
2005-07-28,NL,1.505
2005-07-29,GB,5.256
2005-07-29,US,12.000499
2005-07-29,NL,1.957
2005-08-01,GB,7.842999
2005-08-01,US,10.961999
2005-08-01,NL,2.802
2005-08-02,GB,8.681999
2005-08-02,US,14.232
2005-08-02,NL,2.342999
2005-08-03,GB,8.223999
2005-08-03,US,12.479
2005-08-03,NL,3.004
2005-08-04,GB,5.68
2005-08-04,US,12.179
2005-08-04,NL,3.498999
2005-08-05,GB,12.718
2005-08-05,US,12.7365
2005-08-05,NL,3.37
2005-08-08,GB,9.726999
2005-08-08,US,11.671
2005-08-08,NL,3.851
2005-08-09,GB,8.266
2005-08-09,US,15.62
2005-08-09,NL,1.528999
2005-08-10,GB,10.138
2005-08-10,US,13.243999
2005-08-10,NL,2.460001
2005-08-11,GB,5.898
2005-08-11,US,12.863
2005-08-11,NL,2.047
2005-08-12,GB,7.444
2005-08-12,US,12.232999
2005-08-12,NL,2.806
2005-08-15,GB,19.804499
2005-08-15,US,13.883499
2005-08-15,NL,5.284999
2005-08-16,GB,8.377
2005-08-16,US,13.821499
2005-08-16,NL,3.901999
2005-08-17,GB,6.8825
2005-08-17,US,9.035499
2005-08-17,NL,4.013499
2005-08-18,GB,11.477999
2005-08-18,US,10.585999
2005-08-18,NL,3.203
2005-08-19,GB,8.249999
2005-08-19,US,15.673999
2005-08-19,NL,2.311999
2005-08-22,GB,7.055
2005-08-22,US,10.6885
2005-08-22,NL,4.860999
2005-08-23,GB,14.453999
2005-08-23,US,14.2765
2005-08-23,NL,4.169999
2005-08-24,GB,15.562999
2005-08-24,US,12.011999
2005-08-24,NL,2.786
2005-08-25,GB,14.131
2005-08-25,US,16.093
2005-08-25,NL,4.693
2005-08-26,GB,6.801999
2005-08-26,US,14.631
2005-08-26,NL,3.988999
2005-08-30,GB,12.573999
2005-08-30,US,13.364499
2005-08-30,NL,4.823001
2005-08-31,GB,7.152
2005-08-31,US,6.841999
2005-08-31,NL,2.764999
2005-09-01,GB,8.302
2005-09-01,US,8.655
2005-09-01,NL,2.847
2005-09-02,GB,9.797
2005-09-02,US,12.9355
2005-09-02,NL,3.421999
2005-09-06,GB,14.414
2005-09-06,US,11.768999
2005-09-06,NL,4.515999
2005-09-07,GB,9.8575
2005-09-07,US,8.5405
2005-09-07,NL,3.246499
2005-09-08,GB,9.326
2005-09-08,US,10.058
2005-09-08,NL,3.207999
2005-09-09,GB,8.127999
2005-09-09,US,11.533999
2005-09-09,NL,3.066499
2005-09-12,GB,10.488499
2005-09-12,US,10.033499
2005-09-12,NL,3.794
2005-09-13,GB,10.546999
2005-09-13,US,10.882999
2005-09-13,NL,3.604
2005-09-14,GB,7.676499
