,date,market1,market2,lag
1750,2005-07-25,NL,US,-4000
1746,2005-07-25,US,GB,-8187
1747,2005-07-25,GB,US,8187
1751,2005-07-25,US,NL,4000
1748,2005-07-25,NL,GB,33341
1749,2005-07-25,GB,NL,-33341
1757,2005-07-26,US,NL,-20500
1756,2005-07-26,NL,US,20500
1755,2005-07-26,GB,NL,-17000
1754,2005-07-26,NL,GB,17000
1753,2005-07-26,GB,US,-27625
1752,2005-07-26,US,GB,27625
1763,2005-07-27,US,NL,35000
1762,2005-07-27,NL,US,-35000
1758,2005-07-27,US,GB,18000
1759,2005-07-27,GB,US,-18000
1760,2005-07-27,NL,GB,-20000
1761,2005-07-27,GB,NL,20000
1764,2005-07-28,US,GB,18000
1765,2005-07-28,GB,US,-18000
1766,2005-07-28,NL,GB,6000
1767,2005-07-28,GB,NL,-6000
1768,2005-07-28,NL,US,12000
1769,2005-07-28,US,NL,-12000
0,2005-07-29,US,GB,-20000
1,2005-07-29,GB,US,20000
2,2005-07-29,NL,GB,0
3,2005-07-29,GB,NL,0
4,2005-07-29,NL,US,16000
5,2005-07-29,US,NL,-16000
1773,2005-08-01,GB,NL,-7750
1774,2005-08-01,NL,US,31500
1772,2005-08-01,NL,GB,7750
1775,2005-08-01,US,NL,-31500
1771,2005-08-01,GB,US,6500
1770,2005-08-01,US,GB,-6500
1780,2005-08-02,NL,US,7500
1781,2005-08-02,US,NL,-7500
1778,2005-08-02,NL,GB,-10250
1776,2005-08-02,US,GB,5000
1777,2005-08-02,GB,US,-5000
1779,2005-08-02,GB,NL,10250
1785,2005-08-03,GB,NL,-9000
1787,2005-08-03,US,NL,10500
1786,2005-08-03,NL,US,-10500
1784,2005-08-03,NL,GB,9000
1783,2005-08-03,GB,US,7000
1782,2005-08-03,US,GB,-7000
1791,2005-08-04,GB,NL,-500
1792,2005-08-04,NL,US,0
1793,2005-08-04,US,NL,0
1788,2005-08-04,US,GB,3563
1789,2005-08-04,GB,US,-3563
1790,2005-08-04,NL,GB,500
1794,2005-08-05,US,GB,-5250
1796,2005-08-05,NL,GB,2500
1797,2005-08-05,GB,NL,-2500
1798,2005-08-05,NL,US,10625
1799,2005-08-05,US,NL,-10625
1795,2005-08-05,GB,US,5250
1800,2005-08-08,US,GB,12500
1801,2005-08-08,GB,US,-12500
1802,2005-08-08,NL,GB,-10500
1803,2005-08-08,GB,NL,10500
1805,2005-08-08,US,NL,16000
1804,2005-08-08,NL,US,-16000
1808,2005-08-09,NL,GB,-20000
1809,2005-08-09,GB,NL,20000
1810,2005-08-09,NL,US,19000
1811,2005-08-09,US,NL,-19000
1807,2005-08-09,GB,US,11000
1806,2005-08-09,US,GB,-11000
1812,2005-08-10,US,GB,1063
1813,2005-08-10,GB,US,-1063
1814,2005-08-10,NL,GB,-11000
1815,2005-08-10,GB,NL,11000
1816,2005-08-10,NL,US,10500
1817,2005-08-10,US,NL,-10500
1818,2005-08-11,US,GB,-5750
1820,2005-08-11,NL,GB,-4500
1821,2005-08-11,GB,NL,4500
1822,2005-08-11,NL,US,25375
1823,2005-08-11,US,NL,-25375
1819,2005-08-11,GB,US,5750
11,2005-08-12,US,NL,-34250
10,2005-08-12,NL,US,34250
9,2005-08-12,GB,NL,-40001
8,2005-08-12,NL,GB,40001
7,2005-08-12,GB,US,0
6,2005-08-12,US,GB,0
1828,2005-08-15,NL,US,29000
1824,2005-08-15,US,GB,16000
1825,2005-08-15,GB,US,-16000
1826,2005-08-15,NL,GB,750
1827,2005-08-15,GB,NL,-750
1829,2005-08-15,US,NL,-29000
1832,2005-08-16,NL,GB,-31625
1831,2005-08-16,GB,US,-9000
1833,2005-08-16,GB,NL,31625
1834,2005-08-16,NL,US,32500
1835,2005-08-16,US,NL,-32500
1830,2005-08-16,US,GB,9000
1840,2005-08-17,NL,US,6000
1841,2005-08-17,US,NL,-6000
1836,2005-08-17,US,GB,-50875
1837,2005-08-17,GB,US,50875
1838,2005-08-17,NL,GB,-12000
1839,2005-08-17,GB,NL,12000
1842,2005-08-18,US,GB,-23500
1844,2005-08-18,NL,GB,-5000
1847,2005-08-18,US,NL,-10500
1846,2005-08-18,NL,US,10500
1845,2005-08-18,GB,NL,5000
1843,2005-08-18,GB,US,23500
1849,2005-08-19,GB,US,1000
1850,2005-08-19,NL,GB,14000
1851,2005-08-19,GB,NL,-14000
1852,2005-08-19,NL,US,-11625
1853,2005-08-19,US,NL,11625
1848,2005-08-19,US,GB,-1000
1854,2005-08-22,US,GB,25750
1855,2005-08-22,GB,US,-25750
