date,market,period
2005-07-25,GB,1.307499
2005-07-25,US,2.099499
2005-07-25,NL,1.378
2005-07-26,GB,2.551
2005-07-26,US,1.953
2005-07-26,NL,1.702999
2005-07-27,GB,2.235
2005-07-27,US,1.752499
2005-07-27,NL,1.232999
2005-07-28,GB,1.879499
2005-07-28,US,1.010999
2005-07-28,NL,0.955999
2005-07-29,GB,2.072
2005-07-29,US,0.993999
2005-07-29,NL,1.206
2005-08-01,GB,2.204999
2005-08-01,US,1.182499
2005-08-01,NL,1.502999
2005-08-02,GB,2.398499
2005-08-02,US,1.254499
2005-08-02,NL,1.5065
2005-08-03,GB,2.233999
2005-08-03,US,1.4635
2005-08-03,NL,1.529
2005-08-04,GB,2.219999
2005-08-04,US,1.04
2005-08-04,NL,1.91
2005-08-05,GB,2.884
2005-08-05,US,1.167999
2005-08-05,NL,1.868
2005-08-08,GB,2.874999
2005-08-08,US,1.055999
2005-08-08,NL,1.754999
2005-08-09,GB,2.308
2005-08-09,US,2.668
2005-08-09,NL,1.114
2005-08-10,GB,2.6395
2005-08-10,US,1.603999
2005-08-10,NL,1.3385
2005-08-11,GB,1.5155
2005-08-11,US,2.163499
2005-08-11,NL,1.284999
2005-08-12,GB,2.021999
2005-08-12,US,2.168
2005-08-12,NL,1.519999
2005-08-15,GB,2.54
2005-08-15,US,1.49
2005-08-15,NL,2.05
2005-08-16,GB,2.038999
2005-08-16,US,1.563999
2005-08-16,NL,1.9975
2005-08-17,GB,1.955999
2005-08-17,US,1.438
2005-08-17,NL,1.820999
2005-08-18,GB,1.786
2005-08-18,US,1.551
2005-08-18,NL,1.583
2005-08-19,GB,2.563999
2005-08-19,US,1.567
2005-08-19,NL,1.439999
2005-08-22,GB,3.266
2005-08-22,US,1.545499
2005-08-22,NL,2.2555
2005-08-23,GB,3.289
2005-08-23,US,1.398999
2005-08-23,NL,1.982
2005-08-24,GB,2.606
2005-08-24,US,1.554999
2005-08-24,NL,1.531999
2005-08-25,GB,2.998999
2005-08-25,US,1.517
2005-08-25,NL,1.855999
2005-08-26,GB,2.232999
2005-08-26,US,1.550999
2005-08-26,NL,1.648999
2005-08-30,GB,3.226
2005-08-30,US,1.53
2005-08-30,NL,2.174999
2005-08-31,GB,1.846999
2005-08-31,US,1.526
2005-08-31,NL,1.595
2005-09-01,GB,2.131999
2005-09-01,US,1.559
2005-09-01,NL,1.398
2005-09-02,GB,2.375
2005-09-02,US,1.531
2005-09-02,NL,1.692
2005-09-06,GB,3.343
2005-09-06,US,1.573
2005-09-06,NL,2.057999
2005-09-07,GB,2.143999
2005-09-07,US,1.553
